variant,case,n_scenarios,seed,theta_rho_core_size,theta_rho_outsiders,status,cg_stop_reason,lp_bound,lp_bound_certified,mip_objective,total_seconds,total_pricing_seconds,total_lp_seconds,certification_seconds,total_labels_generated,n_cg_iters,n_rounds,n_columns,early_routes_priced,certification_routes_priced,solve_at_50pct,solve_at_90pct,solve_at_99pct,solve_at_final,normalized_gap_auc,early_objective_improvement,certification_objective_improvement,certification_improvement_share,raw_y_shifts,meaningful_y_shifts,meaningful_y_shift_share,total_y_l1_move,total_theta_l1_move,effective_support,effective_support_size,mip_delta_vs_baseline,elapsed_ratio_vs_baseline,pricing_ratio_vs_baseline,label_ratio_vs_baseline,effective_support_jaccard
baseline,n15_sc1_s42_ms4,1,42,0,1,optimal,optimality_proven,16307.424036703072,true,16307.424036703072,8.232407093048096,5.376367092132568,0.3694913387298584,0.05725812911987305,141953,16,2,328,224,0,6,9,13,13,0.32139435162464497,12020.049131981803,0.0,0.0,6,4,0.6666666666666666,19.0,29.333333333333336,3;9;10;11;12;15,6,0.0,1.0,1.0,1.0,1.0
baseline,n15_sc1_s43_ms4,1,43,0,1,optimal,optimality_proven,14432.670388082515,true,14432.670388082517,8.127218008041382,5.247725248336792,0.3596537113189697,0.09072685241699219,136948,12,2,303,169,0,6,6,10,10,0.34129236838396576,8814.016784150554,0.0,0.0,4,1,0.25,8.0,16.0,3;9;11;15,4,0.0,1.0,1.0,1.0,1.0
baseline,n15_sc3_s42_ms4,3,42,0,1,optimal,optimality_proven,46356.617492396064,true,46722.64643781334,12.012038946151733,8.403210401535034,0.44319581985473633,0.21381235122680664,1252483,41,2,1215,921,0,8,13,35,39,0.15476167071173716,30709.960732480016,0.0,0.0,7,3,0.42857142857142855,13.0,75.9190476190476,2;3;4;9;10;11;12;15,8,0.0,1.0,1.0,1.0,1.0
baseline,n15_sc3_s43_ms4,3,43,0,1,optimal,optimality_proven,45844.82916332287,true,45844.82916332287,9.746289014816284,6.400291204452515,0.3865323066711426,0.18635106086730957,726084,25,2,977,638,0,6,10,13,13,0.18324299002099678,27605.332253068635,0.0,0.0,9,5,0.5555555555555556,17.333333333333332,57.5,3;9;10;11;12;15,6,0.0,1.0,1.0,1.0,1.0
c4o1,n15_sc1_s42_ms4,1,42,4,1,optimal,optimality_proven,16307.424036703072,true,16307.424036703076,8.510940074920654,5.108917474746704,0.3737633228302002,0.5266473293304443,112437,27,10,293,167,22,5,7,25,25,0.1197934608782814,11555.540020576627,464.50911140517564,0.038644526848834085,4,1,0.25,9.0,27.0,3;9;10;11;12;15,6,3.637978807091713e-12,1.0338337230805517,0.9502545840336623,0.7920720238388762,1.0
c4o1,n15_sc1_s43_ms4,1,43,4,1,optimal,optimality_proven,14432.670388082515,true,14432.670388082517,9.64183497428894,5.4082653522491455,0.44573330879211426,0.9431056976318359,138964,30,12,302,126,42,6,7,26,26,0.157078406415981,8495.085300280853,318.93148386970097,0.036184578686440275,7,1,0.14285714285714285,16.0,22.0,3;9;11;15,4,0.0,1.1863635212872274,1.0305923226379343,1.0147209159681048,1.0
c4o1,n15_sc3_s42_ms4,3,42,4,1,optimal,optimality_proven,46356.617492396064,true,46722.64643781334,13.965425968170166,5.777252435684204,0.6306779384613037,3.8921241760253906,1044685,94,30,950,494,162,5,15,97,117,0.06127013592301406,28947.876866018065,1762.083866461966,0.057378252020958094,14,10,0.7142857142857143,19.333333333333332,70.83333333333334,2;3;4;9;10;11;12;15,8,0.0,1.1626191049475605,0.6875053889676331,0.8340911613171595,1.0
c4o1,n15_sc3_s43_ms4,3,43,4,1,optimal,optimality_proven,45844.82916332288,true,45844.82916332288,8.595738887786865,3.871216297149658,0.42322587966918945,1.2591588497161865,276309,53,8,884,458,87,6,12,43,45,0.11070662138156982,26210.47145855659,1394.8607945120384,0.05052867256676415,8,4,0.5,16.0,73.6,3;9;10;11;12;15,6,7.275957614183426e-12,0.8819499272717692,0.6048500253326841,0.3805468788735188,1.0
c6o1,n15_sc1_s42_ms4,1,42,6,1,optimal,optimality_proven,16307.424036703072,true,16307.424036703074,7.940909147262573,4.8470139503479,0.37116026878356934,0.4032418727874756,83876,22,7,287,178,5,7,8,26,26,0.18970745013546914,11852.362481190277,167.6866507915256,0.013950579481855937,3,1,0.3333333333333333,9.333333333333332,26.666666666666664,3;9;10;11;12;15,6,1.8189894035458565e-12,0.9645914077752934,0.9015407369486935,0.5908716265242722,1.0
c6o1,n15_sc1_s43_ms4,1,43,6,1,optimal,optimality_proven,14432.670388082515,true,14432.670388082517,9.049418926239014,5.400084495544434,0.41123080253601074,0.47525572776794434,89486,23,6,286,133,19,6,9,18,18,0.18098912588315952,8534.886650791528,279.1301333590254,0.031668890608531605,4,2,0.5,8.0,18.0,3;9;11;15,4,0.0,1.1134706756094361,1.0290333887537138,0.6534304991675672,1.0
c6o1,n15_sc3_s42_ms4,3,42,6,1,optimal,optimality_proven,46356.617492396064,true,46722.64643781334,8.380018949508667,4.154899835586548,0.46070384979248047,0.8082599639892578,380742,67,7,1180,775,111,6,11,54,60,0.09255190360258318,30229.546609899146,480.41412258087075,0.015643592864407887,7,3,0.42857142857142855,17.0,85.78333333333333,2;3;4;9;10;11;12;15,8,0.0,0.6976350132625363,0.4944419617087729,0.3039897547511623,1.0
c6o1,n15_sc3_s43_ms4,3,43,6,1,optimal,optimality_proven,45844.82916332288,true,45844.82916332288,8.580581188201904,4.037381649017334,0.42507004737854004,1.1247081756591797,444987,74,10,933,578,16,6,8,22,40,0.062021929032210175,27331.401332736175,273.9309203324592,0.009923116223388645,8,4,0.5,19.333333333333336,60.86666666666666,3;9;10;11;12;15,6,7.275957614183426e-12,0.880394699475639,0.6308121802658969,0.6128588427785215,1.0
c6o2,n15_sc1_s42_ms4,1,42,6,2,optimal,optimality_proven,16307.424036703072,true,16307.424036703074,8.720731973648071,5.375178813934326,0.36547327041625977,0.43300795555114746,104908,21,8,298,187,7,8,9,23,23,0.21086427367385113,11852.362481190277,167.6866507915256,0.013950579481855937,7,4,0.5714285714285714,15.333333333333334,27.0,3;9;10;11;15,5,1.8189894035458565e-12,1.0593173873790018,0.9997789812008966,0.739033342021655,0.8333333333333334
c6o2,n15_sc1_s43_ms4,1,43,6,2,optimal,optimality_proven,14432.670388082515,true,14432.670388082517,9.300622940063477,5.885072708129883,0.47997021675109863,0.20238327980041504,40165,16,2,278,144,0,6,6,10,10,0.2741881448975034,8814.016784150554,0.0,0.0,3,2,0.6666666666666666,6.0,16.0,3;9;11;12;15,5,0.0,1.1443796549890852,1.1214521396666282,0.29328650290621255,0.8
c6o2,n15_sc3_s42_ms4,3,42,6,2,optimal,optimality_proven,46356.617492396064,true,46750.83650846892,8.555372953414917,4.204397439956665,0.44039106369018555,0.8277912139892578,416940,53,7,1150,817,39,8,11,56,59,0.12909555273374743,30329.110796750814,380.8499357292021,0.012401511647860911,15,6,0.4,29.666666666666668,103.67857142857143,2;3;4;9;10;11;12;15,8,28.19007065558253,0.7122332013546943,0.5003322824320379,0.33289074582249817,1.0
c6o2,n15_sc3_s43_ms4,3,43,6,2,optimal,optimality_proven,45844.82916332288,true,45844.82916332288,7.005722999572754,3.768505334854126,0.3937246799468994,0.2858860492706299,143036,24,2,866,527,0,6,10,20,20,0.18087638317098137,27605.332253068627,0.0,0.0,5,3,0.6,12.0,52.0,3;9;10;11;12;15,6,7.275957614183426e-12,0.7188092810425252,0.5888021676626957,0.19699649076415401,1.0
