Precompiling packages...
              ✗ MbedTLS_jll
              ✗ MbedTLS
              ✗ HTTP
   9784.7 ms  ✓ StationSelection
  1 dependency successfully precompiled in 23 seconds. 227 already precompiled.
n  sc seed |  l | breadth | load_mean load_max | jaccard | hub_frac
20 1  42   | 10 |    26.4 |       8.1     14.0 |   0.402 |   0.526
20 1  43   | 10 |    26.8 |       7.8     12.0 |   0.309 |   0.474
20 3  42   | 10 |    24.3 |       7.4     14.0 |   0.404 |   0.418
20 3  43   | 10 |    25.0 |       7.6     12.3 |   0.265 |   0.500
25 1  42   | 13 |    42.6 |       8.2     14.0 |   0.335 |   0.280
25 1  43   | 13 |    47.8 |       8.2     12.0 |   0.322 |   0.667
25 3  42   | 13 |    40.4 |       7.9     14.0 |   0.354 |   0.257
25 3  43   | 13 |    45.6 |       8.0     12.3 |   0.295 |   0.596
30 1  42   | 15 |    57.6 |       7.9     14.0 |   0.338 |   0.567
30 1  43   | 15 |    56.2 |       7.6     13.0 |   0.250 |   0.414
30 3  42   | 15 |    55.9 |       7.6     14.3 |   0.339 |   0.417
30 3  43   | 15 |    53.7 |       7.4     13.0 |   0.254 |   0.471
